iteration	candidate_commit	dev_rmse	val_rmse	runtime_s	memory_mb	status	failure_stage	failure_message	complexity	description	rationale	source
176	00c8f57d8c127248b0b26d5da8161f7084225e0d	17.315233		1.317	102.0	discard			baseline	Relax the third-refinement sheet-thickness gate from 0.10 to 0.15 local radii	The retained third Tukey refinement removes curvature-, density-, and outlier-induced leverage on coherent local sheets, but the 0.10 residual-thickness gate leaves some useful geometric corrections unused. The measured relaxation to 0.125 improved clean, low-noise, stripe, and gradient conditions with only small medium/high-noise regressions, so 0.15 is the next untested scale anchor in that supported direction. Accepting the already-computed third normal when sigma / r_112 <= 0.15 should further improve those four geometry-sensitive conditions; medium and high noise may regress because more noise-affected patches undergo another redescending fit and lose effective support. This changes one dimensionless scalar with no runtime or asymptotic cost. Ablate by restoring the threshold to 0.10, exactly recovering the validated frontier estimator.	original
177	0efad5b87fe16c928dc4a94b6bd7824b2426271f	17.353052		1.342	113.7	discard			medium	Require local residual thickness to contract from the broad PCA thickness before accepting the third Tukey refinement	The retained absolute thin-sheet gate can misclassify a noise-affected patch whose 32-neighbor residual MAD happens to fall below 0.10 local radii, causing an unnecessary third redescending fit and the measured medium/high-noise regressions. This change additionally requires sigma_local <= 0.5 sqrt(lambda_min,broad), where sqrt(lambda_min,broad) is the RMS thickness of the 224-neighbor provisional PCA patch. The dimensionless contraction test accepts the third fit only when robust localization has exposed a sheet substantially thinner than its broad neighborhood, evidence that curvature, density variation, or outliers rather than spatially persistent noise inflated the broad fit. Medium and high noise should improve by retaining the two-step normal when thickness persists across scales; clean, low-noise, stripe, and gradient conditions may regress if a useful third correction occurs without a twofold thickness contraction. The cost is retaining the initial smallest eigenvalue and one scalar comparison per query, with no extra fit. Ablate by removing the contraction condition, exactly recovering the validated absolute-thickness gate.	original
178	f85c57566305a70adcc2d0873d62fb88651667dc	17.34545		1.41	105.6	discard			medium	Require the third Tukey refinement to reduce query-local robust residual thickness	The retained absolute thin-sheet gate can accept a noise-driven third normal whenever its pre-refit 32-neighbor weighted-MAD thickness happens to be below 0.10 local radii. After computing the existing third fit, measure the same query-local weighted-MAD thickness around its new plane and accept that normal only if the thickness does not increase. This directly checks that the update better explains the coherent local sheet rather than merely rotating a redescending covariance with reduced support. Medium and high noise should improve by rejecting locally destabilizing updates; clean, low-noise, stripe, and gradient conditions may regress when a useful tangent correction slightly increases MAD despite reducing angular bias. The cost is one additional 32-value weighted median after the already-computed third eigendecomposition. Ablate by removing the post-fit contraction condition, exactly recovering the validated absolute-thickness gate.	original
179	b964422ded021ac4c7cc208c706437840105bd96	17.324384		1.314	97.4	discard			baseline	Reduce only the gated third Tukey refinement from 128 to 112 neighbors	The retained third refinement targets curvature, asymmetric-density, and outlier leverage on thin coherent sheets, but using the full 128-neighbor final patch can let coherent curvature in its outer Gaussian tail survive redescending rejection and tilt the extra correction. Compute the first two retained fits and the 32-neighbor thickness gate unchanged, then form only the already-gated third covariance from the nearest 112 samples; this makes the final correction more query-local without weakening the 128-neighbor second fit that supplies positional-noise averaging. Clean, low-noise, stripe, and gradient conditions should improve through lower neighborhood bias; medium and high noise may regress if accepted third fits need the extra 16 samples, though the thin-sheet gate should limit that exposure. The change reduces third-pass median and covariance work and adds no mechanism or eigendecomposition. Ablate by restoring the third refinement support to 128, exactly recovering the validated frontier. The ordered quadratic-jet retry remains skipped because its prior prediction crash has no precise diagnostic to address.	original
180	8dccd272e4932ba165a0e6224ee0aa29a8c02064	17.327358		1.352	105.5	discard			baseline	Reduce only the gated third Tukey refinement from 128 to 120 neighbors	The thin-sheet third refinement targets residual curvature, asymmetric-density, and outlier leverage, but its outer 128-neighbor Gaussian tail can still rotate the extra correction away from the query-local tangent. The measured 112-neighbor third pass improved clean, high-noise, stripe, and gradient conditions but slightly regressed low and medium noise, establishing a locality-versus-support trade-off; 120 neighbors is the untested midpoint. Forming only the already-gated third covariance from 120 samples should retain part of the clean, stripe, gradient, and possibly high-noise improvement while losing less low/medium-noise averaging than 112. The change removes eight samples only from the third median and covariance, with no new fit or mechanism. Ablate by restoring THIRD_REFINEMENT_COUNT to 128, exactly recovering the validated frontier estimator.	original
181	f9beb15229a5846a6a3a35f09dad6ea3ebd28d25	17.328536		1.326	113.3	discard			baseline	Reduce only the gated third Tukey refinement from 128 to 124 neighbors	The thin-sheet third refinement targets residual curvature, asymmetric-density, and outlier leverage, but its outer 128-neighbor Gaussian tail can rotate the extra correction away from the query-local tangent. Measured 112- and 120-neighbor third passes both improved clean, high-noise, stripe, and gradient conditions while slightly regressing low and medium noise; 124 is the untested midpoint between the retained 128 support and the measured 120 support. Forming only the already-gated third covariance from 124 samples should preserve part of those geometry-sensitive gains while retaining more low/medium-noise averaging than 120. The change removes four samples only from the third median and covariance, with no new fit or mechanism. Ablate by restoring THIRD_REFINEMENT_COUNT to 128, exactly recovering the validated frontier estimator.	original
182	0082731bbab09bc1f99db9af92ae1af053bf4965	17.329265		1.318	97.5	discard			baseline	Reduce only the gated third Tukey refinement from 128 to 126 neighbors	The thin-sheet third refinement targets residual curvature, asymmetric-density, and outlier leverage, but its outer 128-neighbor Gaussian tail can rotate the extra correction away from the query-local tangent. Measured 112-, 120-, and 124-neighbor third passes all improved clean, high-noise, stripe, and gradient conditions while slightly regressing low and medium noise; 126 is the next untested midpoint between the retained 128 support and the measured 124 support. Forming only the already-gated third covariance from 126 samples should preserve a smaller part of those geometry-sensitive gains while retaining more low/medium-noise averaging than 124. The change removes two samples only from the third median and covariance, with no new fit or mechanism. Ablate by restoring THIRD_REFINEMENT_COUNT to 128, exactly recovering the validated frontier estimator.	original
183						crash	quality.ruff-fix	Ruff exited with status 1	baseline	Reduce only the gated third Tukey refinement from 128 to 127 neighbors	The thin-sheet third refinement targets residual curvature, asymmetric-density, and outlier leverage, but the outermost sample of its 128-neighbor Gaussian tail can still rotate the extra correction away from the query-local tangent. Measured third-pass supports of 112, 120, 124, and 126 consistently improved clean, high-noise, stripe, and gradient conditions while slightly regressing low- and medium-noise conditions; 127 is the final untested support point between 126 and the retained 128 endpoint. Removing only neighbor 128 should preserve a minimal part of those geometry-sensitive gains while sacrificing less low/medium-noise averaging than every measured narrower support. The change removes one sample only from the already-gated third median and covariance, with no new fit or asymptotic cost. Ablate by restoring THIRD_REFINEMENT_COUNT to 128, exactly recovering the validated frontier estimator. The ordered quadratic-jet retry remains skipped because its prior prediction crash has no precise diagnostic to address.	original
184	882a2fb32caa0c5dc4891bb1d879bfb36c226b1c	17.329567		1.32	105.6	discard			baseline	Reduce only the gated third Tukey refinement from 128 to 127 neighbors	The thin-sheet third refinement targets residual curvature, asymmetric-density, and outlier leverage, but the outermost sample of its 128-neighbor Gaussian tail can still rotate the correction away from the query-local tangent. Supports of 112, 120, 124, and 126 consistently improved clean, high-noise, stripe, and gradient conditions while slightly regressing low- and medium-noise conditions; 127 is the final unmeasured support point because the previous attempt failed during Ruff processing rather than evaluation. Removing only neighbor 128 should preserve a minimal geometry-sensitive gain with less loss of low/medium-noise averaging than narrower supports. The cost is one fewer sample in only the already-gated third covariance, with no new fit or asymptotic complexity. Ablate by restoring THIRD_REFINEMENT_COUNT to 128, exactly recovering the validated frontier estimator.	original
185	680cf7a5696ffe7b92b958cf713fec70f3eca2ae	17.327463		1.352	105.8	discard			baseline	Narrow only the gated third Tukey-refinement Gaussian bandwidth from the 112th- to the 108th-neighbor radius	The thin-sheet third refinement targets residual curvature, asymmetric-density, and outlier leverage, but its 128-neighbor covariance still uses the 112th-neighbor Gaussian radius, so coherent outer-patch geometry can rotate the extra correction away from the query-local tangent. The completed third-support sweep consistently found that stronger locality improves clean, high-noise, stripe, and gradient conditions while slightly reducing low- and medium-noise averaging; after exhausting support endpoints, this independently tests spatial tapering while retaining all 128 samples. Recompute only the third-pass kernel as exp(-2 d^2 / r_108^2), leaving the first two fits, robust statistics, Tukey cutoff, and thickness gate unchanged. Clean, stripe, gradient, and possibly high noise should improve through lower neighborhood bias; low and medium noise may regress because effective support shrinks. The cost is one Gaussian weight-vector recomputation and bandwidth lookup, with no new samples or eigendecomposition. Ablate by setting THIRD_BANDWIDTH_COUNT to 112, exactly recovering the validated frontier estimator. The ordered quadratic-jet retry remains skipped because its prior prediction crash has no precise diagnostic to address.	original
186	53645db83b22b391306a958f9fea8b5a6655a373	17.329164		1.357	97.5	discard			baseline	Narrow only the gated third Tukey-refinement Gaussian bandwidth from the 112th- to the 110th-neighbor radius	The thin-sheet third refinement removes residual curvature, asymmetric-density, and outlier leverage, but its 128-neighbor covariance still uses the 112th-neighbor Gaussian radius, allowing coherent outer-patch geometry to rotate the final correction. The measured 108th-neighbor bandwidth improved clean, low-noise, medium-noise, high-noise, and gradient conditions but slightly worsened stripe sampling; 110 is the untested midpoint between that anchor and the retained 112 radius. Recomputing only the gated third-pass weights as exp(-2 d^2 / r_110^2) should retain part of those five gains through lower neighborhood bias while reducing the stripe regression by preserving more effective support. Stripe may still regress, and the noise gains may be smaller than at r_108. The cost is one Gaussian weight-vector recomputation and bandwidth lookup, with unchanged support and eigendecomposition count. Ablate by setting THIRD_BANDWIDTH_COUNT to 112, exactly recovering the validated frontier estimator.	original
187	88a176532f86a20df1657432d701e09c88d7a5ab	17.332846		1.381	98.0	discard			baseline	Widen only the gated third Tukey-refinement Gaussian bandwidth from the 112th- to the 116th-neighbor radius	The thin-sheet third refinement uses all 128 final-patch samples but normalizes its Gaussian kernel by neighbor 112, which may undersupport the last robust covariance and make its correction sensitive to stripe-density sampling. The measured r108 and r110 third-pass probes both worsened stripe accuracy, and r110 also lost medium/high-noise accuracy, giving a concrete reason to test the unmeasured opposite bandwidth direction. Recompute only the gated third-pass spatial weights as exp(-2 d^2 / r_116^2), leaving its support, residual statistics, Tukey cutoff, thickness gate, and the first two fits unchanged. Stripe and possibly medium/high noise should improve through greater effective covariance support; clean, low-noise, and gradient may regress if curved or density-biased outer samples gain leverage. The cost is one Gaussian weight-vector recomputation and bandwidth lookup already required by the recent bandwidth probes, with no new fit or asymptotic complexity. Ablate by setting THIRD_BANDWIDTH_COUNT to 112, exactly recovering the validated frontier estimator.	original
188	dc29ffa8d67df857d556343481e18b698820a6b0	17.32671		1.431	113.5	discard			low	Narrow only the gated third Tukey covariance kernel while retaining the established residual-statistic kernel	The measured r108 third-pass kernel improved clean, low-noise, medium-noise, high-noise, and gradient accuracy but slightly regressed stripe sampling; that probe changed both the covariance weights and the weighted residual median, MAD, and thickness gate, so it did not isolate where the stripe loss arose. Keep residual location, scale, Tukey factors, and gate at the validated r112 Gaussian kernel, but form only the accepted third covariance with exp(-2 d^2 / r108^2). The narrower covariance directly limits coherent curvature and density-biased outer-patch leverage, while the established statistic kernel preserves the more stable stripe residual classification and acceptance decision. Clean, low, medium, high, and gradient conditions should retain part of the measured r108 gains; stripe should regress less or improve, though all geometry-sensitive gains may weaken if they came from the statistic change. The cost is one extra Gaussian weight vector with no additional fit or eigendecomposition. Ablate by setting THIRD_COVARIANCE_BANDWIDTH_COUNT to 112, making statistic and covariance kernels identical and exactly recovering the validated frontier. This follows the bandwidth evidence rather than retrying the blocked quadratic jet, whose prediction crash has no precise diagnostic to address.	original
189	376831bcea2f4aa61314641a73fb6c39003a1f34	17.330437		1.372	113.7	discard			low	Narrow only the gated third Tukey residual-statistic kernel from the 112th- to the 108th-neighbor radius	The measured r108 third-pass kernel improved clean, low-noise, medium-noise, high-noise, and gradient accuracy but regressed stripe sampling, while the subsequent covariance-only r108 ablation improved clean, low, stripe, and gradient but slightly worsened medium and high noise. This complementary experiment keeps the accepted third covariance at the validated r112 Gaussian kernel and uses exp(-2 d^2 / r108^2) only for its 32-neighbor weighted residual median, MAD, Tukey factors, and thin-sheet gate. A more query-local robust reference should prevent curvature- or density-biased residuals from inflating their own allowed leverage while preserving the established covariance support. Medium and high noise should recover the gains not explained by covariance tapering; clean, low, and gradient may also improve, while stripe may regress if its local 32-sample statistic becomes less stable. The cost is one 32-value Gaussian weight vector per query, with no extra fit or eigendecomposition. Ablate by setting THIRD_STATISTIC_BANDWIDTH_COUNT to 112, which makes the statistic kernel match the retained covariance kernel and exactly recovers the validated frontier.	original
190	11255c7233e867b11d24f260a054d29bbfd4b990	17.330623		1.362	113.7	discard			baseline	Narrow only the gated third-pass residual-statistic bandwidth from neighbor 112 to neighbor 110	The third Tukey refinement uses a 32-neighbor weighted residual median and MAD to identify a thin coherent sheet, but curvature or density-biased samples can inflate that reference distribution and preserve their own leverage. The measured statistic-only radius-108 probe improved clean, low-, medium-, high-noise, and gradient conditions but destabilized stripe sampling; radius 110 is the untested midpoint toward the retained radius 112. Using exp(-2 d^2 / r_110^2) only for third-pass location, scale, Tukey factors, and the thickness gate should retain part of the noise and neighborhood-bias gains while preserving more stripe stability. The accepted covariance remains at the established radius 112, so cost is one 32-value weight vector and no extra fit. Ablate by setting THIRD_STATISTIC_BANDWIDTH_COUNT to 112, exactly recovering the validated estimator.	original
191	5c316172293743f103542840d0b17395470f8184	17.330027		1.331	106.6	discard			baseline	Widen only the gated third-pass residual-statistic bandwidth from neighbor 112 to neighbor 116	The third Tukey refinement estimates its residual location and MAD from only 32 samples, so a narrow spatial kernel can make those statistics unstable under stripe density and positional noise. The measured statistic-only radii 108 and 110 both worsened stripe accuracy, giving a concrete reason to test the opposite direction while leaving the accepted covariance kernel at radius 112. Weighting only the third-pass median and MAD by exp(-2 d^2 / r_116^2) should improve stripe and possibly medium/high-noise stability through a less concentrated robust reference; clean, low-noise, and gradient conditions may regress if curved or density-biased samples inflate the scale and retain leverage. The cost is one 32-value weight vector and no extra fit or eigendecomposition. Ablate by setting THIRD_STATISTIC_BANDWIDTH_COUNT to 112, which skips the alternate statistic kernel and exactly recovers the validated estimator. The ordered quadratic-jet retry remains skipped because its prior prediction crash has no precise diagnostic to address.	original
192	78c847ac24c80cc6a28f794a045e931b11de67d8	17.32966		1.265	110.5	discard			medium	Compute the gated third Tukey refinement only for patches that pass the retained thin-sheet test	The retained estimator currently forms and diagonalizes a third robust covariance for every query, then discards its normal on thick, noise-dominated or strongly curved patches. Evaluate the existing condition sigma / r_112 <= 0.1 before that covariance and gather only passing rows for the third fit. This is mathematically the same estimator: clean, low-noise, stripe, and gradient patches accepted by the gate receive the identical outlier- and neighborhood-bias correction, while medium/high-noise patches rejected by the gate retain the identical two-step normal. The expected benefit is lower runtime and temporary work in proportion to the rejected fraction, at the cost of a small indexed sub-batch and branch; accuracy should be unchanged in every condition. Ablate by restoring the unconditional batched third covariance followed by np.where selection, which recovers the prior implementation exactly.	original
193						crash	quality.ruff-fix	Ruff exited with status 1	medium	Normalize the gated third Tukey refinement by robust in-plane patch scale	The retained third-refinement gate compares residual thickness with the 112th-neighbor radius, but that outer order statistic can expand under stripe or gradient density and make the same physical sheet appear artificially thin, admitting a support-reducing extra fit. Instead compare the pre-refit weighted-MAD thickness sigma with sqrt(lambda_1 + lambda_2) from the two-step robust covariance, accepting when sigma / sqrt(lambda_1 + lambda_2) <= 0.15. This dimensionless PCA-derived aspect ratio measures thickness against the patch's actual weighted tangent spread; 0.15 approximately preserves the old 0.1-radius boundary for an isotropic Gaussian surface patch. Medium and high noise should improve by rejecting density-inflated false thin sheets; stripe and gradient may also improve through density-consistent gating, while clean and low-noise patches may regress if useful third corrections are rejected. The cost is retaining two eigenvalues and scalar arithmetic, with no extra fit. Ablate by restoring sigma / r_112 <= 0.1, exactly recovering the validated gate.	original
194	8668791697544593bca6582cc69eb6320057b50a	17.356628		1.348	100.9	discard			medium	Normalize the gated third Tukey refinement by robust in-plane patch scale	The retained third-refinement gate divides residual thickness by the 112th-neighbor radius, but that outer order statistic expands under stripe or gradient density and can make a noise-affected sheet appear artificially thin, admitting an extra redescending fit that reduces effective support. Replace the gate with the PCA-derived aspect ratio sigma / sqrt(lambda_1 + lambda_2) <= 0.15, using the two-step robust covariance eigenvalues so thickness is compared with the patch's actual weighted tangent spread. The 0.15 threshold approximately matches the old 0.10 radius threshold for an isotropic Gaussian surface patch. Medium and high noise should improve by rejecting false thin sheets, and stripe or gradient sampling may improve through density-consistent normalization; clean and low-noise conditions may regress if useful third corrections are rejected. The cost is retaining two eigenvalues and scalar arithmetic, with no additional fit. Ablate by restoring sigma / r_112 <= 0.10, exactly recovering the validated gate. The prior attempt failed during Ruff processing and produced no measurement, so the conceptual hypothesis remains untested; this implementation uses an explicit shaped tangent-spread array to avoid an implicit loop-carried value.	original
195	b40519f11c198feca672cd5975f7928dd5565204	17.325779		1.345	97.6	discard			medium	Gate the third Tukey refinement at a 0.20 robust thickness-to-tangent-spread ratio	The retained gate divides robust normal-direction thickness by the 112th-neighbor radius, whose density sensitivity can make stripe or gradient patches appear artificially thin. Use the PCA-derived ratio sigma / sqrt(lambda_1 + lambda_2) instead, where the eigenvalues come from the two-step robust covariance, and accept the third fit at a relaxed threshold of 0.20. The measured 0.15 ratio gate improved medium and high noise but rejected too many useful corrections on clean, low-noise, stripe, and gradient patches; 0.20 is the next simple parameter anchor intended to retain some density-consistent noise rejection while recovering those four conditions. The cost is retaining two eigenvalues and scalar arithmetic, with no extra fit. Ablate by restoring sigma / r_112 <= 0.10, exactly recovering the validated gate; compare 0.15 independently to isolate the threshold relaxation.	original
196						crash	quality.ruff-fix	Ruff exited with status 1	baseline	Gate the third Tukey refinement at a 0.175 robust thickness-to-tangent-spread ratio	The retained gate divides robust normal-direction thickness by the 112th-neighbor radius, whose response to stripe or gradient density can make a noisy patch appear artificially thin and admit a support-reducing third fit. Use the PCA-derived aspect ratio sigma / sqrt(lambda_1 + lambda_2), from the two-step robust covariance, with threshold 0.175. The measured 0.15 ratio gate improved medium and high noise but rejected too many useful clean, low-noise, stripe, and gradient corrections, while 0.20 recovered clean, low, and stripe but lost the noise gains; 0.175 is the untested midpoint intended to balance density-consistent noise rejection against geometric correction. The cost is retaining two eigenvalues and scalar arithmetic, with no extra fit. Ablate by restoring sigma / r_112 <= 0.10; compare 0.15 and 0.20 independently to isolate the threshold.	original
197	689481216821030d9be2b81577e47db041fbb690	17.337499		1.323	97.7	discard			baseline	Gate the third Tukey refinement at a 0.175 robust thickness-to-tangent-spread ratio	The retained gate normalizes robust residual thickness by the 112th-neighbor radius, whose density sensitivity can make stripe or gradient patches appear artificially thin and admit a support-reducing third fit. Instead use the PCA-derived ratio sigma / sqrt(lambda_1 + lambda_2), computed from the two-step robust covariance, and accept the third refinement when it is at most 0.175. The measured 0.15 ratio improved medium and high noise but rejected too many useful clean, low-noise, stripe, and gradient corrections, while 0.20 recovered clean, low, and stripe but lost the noise gains; this previously unmeasured midpoint should balance density-consistent noise rejection against geometric correction. The cost is retaining the two tangent eigenvalues and scalar arithmetic, with no extra fit. Ablate by restoring sigma / r_112 <= 0.10; compare against the measured 0.15 and 0.20 thresholds to isolate this parameter.	original
198	182a7f62b445da22a8baeea5f724d66a8aa8f2d1	17.323682		1.351	106.7	discard			low	Normalize the third-refinement thickness gate by the 32-neighbor robust-statistic core radius	The retained third Tukey gate compares a thickness estimated from the nearest 32 residuals with the much broader 112th-neighbor radius. Under stripe or gradient density and locally changing geometry, that scale mismatch can make a noisy or biased core appear artificially thin and admit a support-reducing third fit. Compare the weighted-MAD thickness instead with r_32, the spatial radius of the same core that defines the statistic, and accept when sigma / r_32 <= 0.20; for a uniformly sampled 2D patch, r_32/r_112 is approximately sqrt(32/112), so 0.20 closely preserves the retained 0.10-r_112 boundary while making numerator and denominator equally local. Stripe, gradient, medium-noise, and high-noise conditions should improve through more scale-consistent gating; clean and low-noise may regress if useful curvature or outlier corrections are rejected. The cost is one cached radius lookup and scalar comparison, with no extra fit. Ablate by restoring sigma / r_112 <= 0.10, exactly recovering the validated gate.	original
199	5c8d2f1d209089194277e3a69d4da8261f9d1ee2	17.331321		1.325	111.5	discard			low	Normalize the third-refinement thickness gate by the robust core's weighted tangent RMS spread	The retained gate compares a weighted-MAD thickness measured on 32 query-local residuals with the much broader 112th-neighbor radius; the rejected r32 probe made the denominator local but remained sensitive to one outer order statistic, while the rejected covariance-eigenvalue probe measured tangent spread over all 128 samples rather than the statistic core. This change computes the Gaussian-weighted RMS in-plane distance of those same 32 samples about the current plane and accepts the third Tukey fit when sigma/tau <= 0.28. Thus numerator and denominator use the same points, weights, center, and corrected tangent, making the aspect ratio less sensitive to stripe/gradient density and anisotropic core shape. For a uniform 2D patch, tau is approximately r32/sqrt(2), so 0.28 approximately preserves the retained 0.1-r112 boundary. Stripe, gradient, medium-noise, and high-noise conditions should improve through more scale-consistent gating; clean and low-noise may regress if useful curvature/outlier corrections are rejected. The cost is one weighted tangent second moment per query and no additional fit. Ablate by restoring sigma/r112 <= 0.10, exactly recovering the validated gate; compare independently with the measured r32 and full-covariance tangent-scale gates.	original
200	ca4f0c1d64f019bc427e53a14188cb79a5b9704e	17.343974		1.344	113.5	discard			medium	Reject the thin-sheet third Tukey refinement when the preceding robust step collapses residual scale by more than half	The retained absolute thickness gate can mistake a noise-affected patch for a coherent thin sheet after redescending weights collapse onto a small subset, then apply a third fit that further reduces effective noise-averaging support. In addition to sigma_2 / r_112 <= 0.10, require sigma_2 >= 0.5 sigma_1, where sigma_1 and sigma_2 are the identically computed weighted-MAD residual scales before the second and third fits. A genuinely stable local sheet should have comparable successive scales, whereas a sudden scale collapse signals unstable inlier selection rather than geometric thinness. Medium and high noise should improve by retaining the two-step normal on collapsed patches; clean, low-noise, stripe, and gradient may regress if a useful second refinement legitimately reveals a much thinner sheet. The cost is retaining one scalar per query and one comparison, with no additional fit. Ablate by removing the scale-retention condition, exactly recovering the validated thickness-only gate.	original
201	d3d702eabad62bf0b1f949ce1cec10c20f77e56d	17.357823		1.329	97.6	discard			medium	Require the gated third Tukey refinement to retain at least half of its Gaussian spatial weight mass	The retained thin-sheet gate can admit a noise-affected patch whose third redescending loss keeps only a small spatially weighted inlier subset, reducing the covariance support that medium- and high-noise cases need. Before normalization, the sum of Gaussian weight times Tukey weight lies in [0, 1] and directly measures how much of the established spatial kernel survives rejection. In addition to sigma / r_112 <= 0.10, accept the third normal only when this retained mass is at least 0.5. Medium and high noise should improve by keeping the two-step estimate when redescending rejection collapses support; clean, low-noise, stripe, and gradient may regress if useful curvature-, density-, or outlier-removing corrections legitimately retain less than half the kernel mass. The cost is one already-required weight sum and one comparison, with no extra fit. Ablate by removing the retained-mass condition, exactly recovering the validated thickness-only gate. This differs from the rejected Kish-count gate, which measured concentration only after normalization and therefore discarded absolute information about how much spatial support Tukey rejection removed.	original
202	a4c246e9cfd8e7fee6daebed131e002aeefc5619	17.32966		1.336	113.5	discard			medium	Require the thin-sheet third Tukey refinement to retain at least one quarter of its Gaussian spatial weight mass	The retained thickness gate can still admit a noise-affected patch whose third redescending loss collapses onto a small spatially weighted subset, making its covariance unstable. Before normalization, sum_i w_gaussian,i w_Tukey,i is the fraction of the established spatial kernel retained by rejection. The measured 0.5 threshold improved low-, medium-, and high-noise conditions but rejected too many useful curvature-, density-, and outlier-removing updates on clean, stripe, and gradient patches. Requiring only 0.25 is the next untested support anchor: it should reject severe collapse and modestly improve the three noisy conditions while preserving more geometry-sensitive corrections than 0.5; clean, stripe, and gradient may still regress when useful corrections use sparse inliers. The cost is retaining the weight sum already needed for normalization and one comparison per query. Ablate by removing the retained-mass condition, exactly recovering the validated thickness-only gate; compare independently with 0.5 to isolate the threshold relaxation.	original
203	e35fe6dece7d916a100c60626e5091a61f746817	17.329801		1.323	97.5	discard			low	Require the thin-sheet third Tukey refinement to retain at least three eighths of its Gaussian spatial weight mass	The retained thickness gate can admit a noise-affected patch whose third redescending loss keeps too little spatially weighted support for a stable covariance. The pre-normalization mass sum_i w_G,i w_T,i directly measures the fraction of the established Gaussian kernel surviving Tukey rejection. A measured 0.50 gate improved low-, medium-, and high-noise conditions but rejected too many useful clean, stripe, and gradient corrections, while 0.25 had no numerical effect; the untested midpoint 0.375 should reject moderate support collapse and recover some noisy-condition accuracy with less geometry-sensitive regression than 0.50. The cost is retaining the already-computed normalization sum and one comparison per query. Ablate by removing the retained-mass condition, exactly recovering the validated thickness-only gate; comparisons with 0.25 and 0.50 isolate the threshold.	original
204	05596a5eef51b7f1d7443b0db6dcff365cd8a686	17.333353		1.307	103.8	discard			baseline	Require the thin-sheet third Tukey refinement to retain at least seven sixteenths of its Gaussian spatial weight mass	The thin-sheet gate can accept a noise-affected third refinement after redescending rejection has removed too much spatial support for a stable covariance. The pre-normalization mass sum_i w_G,i w_T,i measures the fraction of the established Gaussian kernel retained by Tukey rejection. A 0.50 threshold improved low-, medium-, and high-noise conditions but rejected too many useful clean, stripe, and gradient corrections; 0.375 had only tiny effects and did not recover high-noise accuracy. The untested midpoint 0.4375 should reject more moderately collapsed fits than 0.375 and improve low, medium, and high noise, while causing smaller clean, stripe, and gradient regressions than 0.50. This changes one scalar and reuses the normalization sum, so runtime and asymptotic cost are unchanged. Ablate by setting the threshold to zero, exactly recovering the validated thickness-only gate; comparisons with 0.375 and 0.50 isolate the parameter.	original
205	0c482f0e16e175a64a20333acd64704515ad745c	17.343442		1.344	113.5	discard			low	Require the thin-sheet third Tukey refinement to retain at least fifteen thirty-seconds of its Gaussian spatial weight mass	The retained thickness gate can accept a noise-affected third refinement after redescending Tukey rejection has removed too much spatial support for a stable covariance. Before normalization, sum_i w_G,i w_T,i is the fraction of the established Gaussian kernel retained by the robust fit. Measured thresholds of 0.4375 and 0.50 bracket the trade-off: 0.4375 modestly improved medium noise but not high noise, while 0.50 improved low, medium, and high noise at a larger clean, stripe, and gradient cost. Requiring the untested midpoint 0.46875 should reject more support-collapsed fits than 0.4375 and improve the noisy conditions, while preserving more useful curvature-, density-, and outlier-removing corrections than 0.50. The cost is one scalar comparison using the weight sum already needed for normalization. Ablate by setting the minimum retained mass to zero, exactly recovering the validated thickness-only gate; comparisons with 0.4375 and 0.50 isolate the threshold.	original
206	f18ebb51f12b32add1dfe839786c2e27f28fbae2	17.347649		1.349	97.5	discard			low	Require the thin-sheet third Tukey refinement to retain at least 31/64 of its Gaussian spatial weight mass	A thin residual sheet can still be noise-affected when Tukey rejection collapses the third fit onto too little spatial support, making its covariance unstable. Before normalization, sum_i w_G,i w_T,i is the fraction of the established Gaussian kernel retained by the redescending fit. Measured thresholds 0.46875 and 0.50 bracket the trade-off: both improved low, medium, and high noise, while 0.50 caused larger clean, stripe, and gradient regressions. The untested midpoint 0.484375 should reject more support-collapsed fits than 0.46875 and improve low-, medium-, and high-noise conditions; clean, stripe, and gradient may regress as useful curvature-, density-, and outlier-removing corrections are rejected, but less than at 0.50. The cost is one scalar comparison using the normalization sum already computed. Ablate by setting the minimum retained mass to zero, exactly recovering the validated thickness-only gate; compare independently with 0.46875 and 0.50 to isolate the threshold.	original
207	2fd849db08c34f7a4d7219d57e5ce7f065e058c3	17.374089		1.317	97.3	discard			medium	Use bounded-influence Cauchy weighting instead of redescending Tukey rejection only in the gated third refinement	The retained thin-sheet third refinement improves clean, low-noise, stripe, and gradient geometry, but repeated Tukey rejection can collapse covariance support and slightly harm medium and high noise. Keep the broad initialization, first two Tukey corrections, residual statistics, and thickness gate unchanged, but replace only the accepted third pass by Cauchy weights 1 / (1 + u^2) with cutoff 1.5 weighted-MAD sigmas. Tukey's retained 2.77 cutoff was chosen to reach half weight at the same approximately 1.5-sigma residual, so this isolates redescending zero-weight rejection from bounded influence: every sample retains finite support while large curvature-, density-, and outlier-induced residuals remain downweighted. Medium and high noise should improve through greater effective covariance support; clean, low-noise, stripe, and gradient may regress if extreme geometric residuals regain leverage. The fit count is unchanged and the cost is slightly lower mask arithmetic. Ablate by restoring the 2.77-sigma Tukey formula only in the third pass, exactly recovering the validated estimator.	original
